Employee_ID,Username,Password,FirstName,LastName,Email,AnnualLeave,MedicalLeave,CompensationLeave,Role,Manager,ManagerUsername,,CurrentClaim
3677,KerrGarc,Password,Kerri,Garcia,KerrGarc@mail.com,14,7,0,Manager,17,DeboMann,FALSE,8
7897,BranMyer,Password,Brandon,Myers,BranMyer@mail.com,14,6,0,Admin,28,JosePric,FALSE,8
5930,RobeWolf,Password,Robert,Wolfe,RobeWolf@mail.com,20,8,3,Staff,23,CoreFull,FALSE,8
4946,GlenSand,Password,Glenn,Sanders,GlenSand@mail.com,15,6,2,Admin,28,JosePric,FALSE,8
6321,RichLope,Password,Richard,Lopez,RichLope@mail.com,19,7,1,Manager,24,DianWalk,FALSE,8
4606,MichWall,Password,Michael,Wall,MichWall@mail.com,18,7,1,Staff,11,BriaAnde,FALSE,8
9020,DianBrow,Password,Diana,Brown,DianBrow@mail.com,19,7,1,Staff,5,PatrPark,FALSE,8
3656,DaniReyn,Password,Danielle,Reynolds,DaniReyn@mail.com,16,6,0,Staff,6,AnneMitc,FALSE,8
6091,GeorBolt,Password,George,Bolton,GeorBolt@mail.com,16,6,1,Manager,25,ZachElli,FALSE,8
5931,JaimChen,Password,Jaime,Chen,JaimChen@mail.com,19,7,3,Staff,5,PatrPark,FALSE,8
6079,JeffCamp,Password,Jeffery,Campbell,JeffCamp@mail.com,19,6,3,Staff,3,GeorBolt,FALSE,8
7246,AmbeFrie,Password,Amber,Friedman,AmbeFrie@mail.com,15,6,2,Staff,1,KerrGarc,FALSE,8
4794,SivaMapo,Password,Siva,Mapo,SivaMapo@mail.com,17,6,3,Staff,16,ChriSand,FALSE,8
3502,RebeNewt,Password,Rebecca,Newton,RebeNewt@mail.com,16,8,0,Staff,26,ChelHayn,FALSE,8
9918,ConnWise,Password,Connie,Wise,ConnWise@mail.com,20,6,3,Staff,6,AnneMitc,FALSE,8
6777,JacoSoto,Password,Jacob,Soto,JacoSoto@mail.com,19,8,1,Staff,2,RichLope,FALSE,8
9970,AngeFrit,Password,Angela,Fritz,AngeFrit@mail.com,14,7,2,Staff,11,BriaAnde,FALSE,8
9459,StepGilb,Password,Stephen,Gilbert,StepGilb@mail.com,17,7,3,Staff,26,ChelHayn,FALSE,8
9876,JoanMill,Password,Joanne,Miller,JoanMill@mail.com,17,8,2,Staff,24,DianWalk,FALSE,8
4578,JamiDunn,Password,Jamie,Dunn,JamiDunn@mail.com,16,8,2,Manager,21,AnneWest,FALSE,8
1760,WarrWats,Password,Warren,Watson,WarrWats@mail.com,18,7,1,Staff,25,ZachElli,FALSE,8
5249,NathAnde,Password,Nathaniel,Anderson,NathAnde@mail.com,18,7,0,Staff,9,AnthGuti,FALSE,8
5491,PatrEdwa,Password,Patricia,Edwards,PatrEdwa@mail.com,18,7,2,Staff,3,GeorBolt,FALSE,8
6056,PatrPark,Password,Patrick,Parker,PatrPark@mail.com,17,6,0,Manager,18,BenjWell,FALSE,8
1684,AnneMitc,Password,Annette,Mitchell,AnneMitc@mail.com,19,6,2,Manager,18,BenjWell,FALSE,8
3253,JoseColl,Password,Joseph,Collier,JoseColl@mail.com,20,6,3,Staff,21,AnneWest,FALSE,8
8545,LeeSext,Password,Lee,Sexton,LeeSext@mail.com,18,7,1,Staff,13,TonyClar,FALSE,8
4324,JeffFran,Password,Jeffrey,Francis,JeffFran@mail.com,20,7,3,Manager,3,GeorBolt,FALSE,8
6605,JustMill,Password,Justin,Miller,JustMill@mail.com,20,6,2,Manager,11,BriaAnde,FALSE,8
1994,PatrCook,Password,Patricia,Cook,PatrCook@mail.com,17,6,1,Staff,15,JennWrig,FALSE,8
8829,MichLam,Password,Michelle,Lam,MichLam@mail.com,17,6,0,Staff,4,JamiDunn,FALSE,8
1926,MichLee,Password,Michelle,Lee,MichLee@mail.com,14,7,0,Staff,26,ChelHayn,FALSE,8
9859,DaviBear,Password,David,Beard,DaviBear@mail.com,15,6,2,Staff,20,EricJohn,FALSE,8
6199,AnthGuti,Password,Anthony,Gutierrez,AnthGuti@mail.com,16,8,0,Manager,1,KerrGarc,FALSE,8
7328,KeviJohn,Password,Kevin,Johnson,KeviJohn@mail.com,19,7,1,Staff,22,DonaMorr,FALSE,8
9961,JaneKell,Password,Janet,Kelley,JaneKell@mail.com,20,7,1,Staff,21,AnneWest,FALSE,8
4760,SamuStew,Password,Samuel,Stewart,SamuStew@mail.com,14,8,0,Staff,25,ZachElli,FALSE,8
1363,CindGrah,Password,Cindy,Graham,CindGrah@mail.com,17,7,0,Staff,2,RichLope,FALSE,8
3877,EricLope,Password,Eric,Lopez,EricLope@mail.com,19,8,0,Staff,7,JeffFran,FALSE,8
1693,ZachKell,Password,Zachary,Kelly,ZachKell@mail.com,19,8,1,Staff,21,AnneWest,FALSE,8
3630,BobbKlei,Password,Bobby,Klein,BobbKlei@mail.com,16,8,2,Staff,16,ChriSand,FALSE,8
4689,BritWell,Password,Brittany,Wells,BritWell@mail.com,19,8,3,Manager,22,DonaMorr,FALSE,8
4826,AmanPhil,Password,Amanda,Phillips,AmanPhil@mail.com,19,7,3,Staff,26,ChelHayn,FALSE,8
9832,JohnVega,Password,John,Vega,JohnVega@mail.com,14,7,1,Staff,13,TonyClar,FALSE,8
5769,JameWade,Password,James,Wade,JameWade@mail.com,20,8,3,Staff,14,BranRich,FALSE,8
9726,KateFull,Password,Katelyn,Fuller,KateFull@mail.com,15,6,2,Staff,25,ZachElli,FALSE,8
9361,JasoJame,Password,Jason,James,JasoJame@mail.com,20,6,2,Staff,2,RichLope,FALSE,8
3135,ReneLamb,Password,Renee,Lambert,ReneLamb@mail.com,14,6,2,Staff,18,BenjWell,FALSE,8
8488,BonnBray,Password,Bonnie,Bray,BonnBray@mail.com,19,7,2,Staff,25,ZachElli,FALSE,8
5552,StepFost,Password,Stephanie,Foster,StepFost@mail.com,18,7,0,Staff,25,ZachElli,FALSE,8
4905,DonaShor,Password,Donald,Short,DonaShor@mail.com,14,6,2,Staff,25,ZachElli,FALSE,8
3374,FranRile,Password,Frank,Riley,FranRile@mail.com,18,8,0,Staff,5,PatrPark,FALSE,8
9098,PerrHuds,Password,Perry,Hudson,PerrHuds@mail.com,15,8,3,Staff,10,BritWell,FALSE,8
7098,HelePage,Password,Helen,Page,HelePage@mail.com,19,7,2,Staff,19,DonnJenn,FALSE,8
9977,EmmaGrif,Password,Emma,Griffin,EmmaGrif@mail.com,14,8,1,Staff,5,PatrPark,FALSE,8
9425,DaviKell,Password,David,Kelly,DaviKell@mail.com,16,8,2,Staff,12,ShelBass,FALSE,8
2452,PatrJone,Password,Patrick,Jones,PatrJone@mail.com,16,8,2,Staff,19,DonnJenn,FALSE,8
2504,BriaAnde,Password,Brian,Anderson,BriaAnde@mail.com,20,6,0,Manager,26,ChelHayn,FALSE,8
6840,MarcOwen,Password,Marc,Owen,MarcOwen@mail.com,18,8,3,Staff,9,AnthGuti,FALSE,8
5831,JessEspi,Password,Jessica,Espinoza,JessEspi@mail.com,19,6,2,Staff,1,KerrGarc,FALSE,8
7662,HeatCars,Password,Heather,Carson,HeatCars@mail.com,19,7,3,Staff,4,JamiDunn,FALSE,8
1896,SusaHarv,Password,Susan,Harvey,SusaHarv@mail.com,16,8,3,Staff,10,BritWell,FALSE,8
6549,ShelBass,Password,Shelby,Bass,ShelBass@mail.com,20,7,1,Manager,27,AnthChan,FALSE,8
4814,TonyClar,Password,Tonya,Clark,TonyClar@mail.com,20,8,3,Manager,8,JustMill,FALSE,8
6628,KeviPerk,Password,Kevin,Perkins,KeviPerk@mail.com,16,8,2,Staff,3,GeorBolt,FALSE,8
3926,BranRich,Password,Brandon,Richard,BranRich@mail.com,15,7,3,Manager,22,DonaMorr,FALSE,8
4200,JennWrig,Password,Jennifer,Wright,JennWrig@mail.com,20,6,3,Manager,28,JosePric,FALSE,8
4523,TinaBarn,Password,Tina,Barnes,TinaBarn@mail.com,15,6,1,Staff,11,BriaAnde,FALSE,8
5112,ChriSand,Password,Christopher,Sandoval,ChriSand@mail.com,16,8,0,Manager,10,BritWell,FALSE,8
8126,DeboMann,Password,Deborah,Mann,DeboMann@mail.com,19,7,2,Manager,18,BenjWell,FALSE,8
8735,BenjWell,Password,Benjamin,Wells,BenjWell@mail.com,19,7,0,Manager,9,AnthGuti,FALSE,8
7267,VeroSmit,Password,Veronica,Smith,VeroSmit@mail.com,19,8,0,Staff,8,JustMill,FALSE,8
1709,AmanDavi,Password,Amanda,Davis,AmanDavi@mail.com,17,8,2,Staff,8,JustMill,FALSE,8
6766,ChriThom,Password,Christine,Thomas,ChriThom@mail.com,14,6,2,Staff,20,EricJohn,FALSE,8
4447,JonaChav,Password,Jonathan,Chavez,JonaChav@mail.com,17,8,0,Staff,16,ChriSand,FALSE,8
9100,DonnJenn,Password,Donna,Jennings,DonnJenn@mail.com,14,7,1,Manager,25,ZachElli,FALSE,8
2614,EricJohn,Password,Eric,Johnson,EricJohn@mail.com,15,7,3,Manager,6,AnneMitc,FALSE,8
4848,AnneWest,Password,Annette,West,AnneWest@mail.com,19,8,0,Manager,1,KerrGarc,FALSE,8
9219,CollMoor,Password,Colleen,Moore,CollMoor@mail.com,17,6,2,Staff,25,ZachElli,FALSE,8
3228,ChriHern,Password,Christopher,Hernandez,ChriHern@mail.com,19,8,0,Staff,6,AnneMitc,FALSE,8
4831,EmmaTate,Password,Emma,Tate,EmmaTate@mail.com,17,6,3,Staff,14,BranRich,FALSE,8
1360,WillTorr,Password,William,Torres,WillTorr@mail.com,16,7,2,Staff,26,ChelHayn,FALSE,8
8103,DonaMorr,Password,Donald,Morris,DonaMorr@mail.com,14,6,0,Manager,18,BenjWell,FALSE,8
4669,CoreFull,Password,Corey,Fuller,CoreFull@mail.com,15,7,2,Manager,4,JamiDunn,FALSE,8
7028,KimbBara,Password,Kimberly,Barajas,KimbBara@mail.com,16,7,3,Staff,10,BritWell,FALSE,8
1319,ChriGome,Password,Christopher,Gomez,ChriGome@mail.com,14,8,1,Staff,13,TonyClar,FALSE,8
5914,NancGarc,Password,Nancy,Garcia,NancGarc@mail.com,15,6,1,Staff,2,RichLope,FALSE,8
1270,DianWalk,Password,Diana,Walker,DianWalk@mail.com,17,6,0,Manager,5,PatrPark,FALSE,8
3788,KellLong,Password,Kelly,Long,KellLong@mail.com,17,6,3,Staff,7,JeffFran,FALSE,8
9003,AdamAgui,Password,Adam,Aguirre,AdamAgui@mail.com,17,8,1,Staff,3,GeorBolt,FALSE,8
6920,ZachElli,Password,Zachary,Ellis,ZachElli@mail.com,19,7,3,Manager,10,BritWell,FALSE,8
2362,AndrGray,Password,Andrea,Gray,AndrGray@mail.com,19,8,3,Staff,19,DonnJenn,FALSE,8
6132,ChelHayn,Password,Chelsea,Haynes,ChelHayn@mail.com,15,7,0,Manager,13,TonyClar,FALSE,8
8448,JessBail,Password,Jessica,Bailey,JessBail@mail.com,17,8,2,Staff,15,JennWrig,FALSE,8
1808,AnthChan,Password,Anthony,Chang,AnthChan@mail.com,17,6,2,Manager,10,BritWell,FALSE,8
6379,CoryReed,Password,Cory,Reed,CoryReed@mail.com,20,6,0,Staff,6,AnneMitc,FALSE,8
2707,JosePric,Password,Joseph,Price,JosePric@mail.com,20,7,3,Manager,20,EricJohn,FALSE,8
8637,AaroReyn,Password,Aaron,Reynolds,AaroReyn@mail.com,14,6,3,Staff,10,BritWell,FALSE,8
8073,AmyBarn,Password,Amy,Barnes,AmyBarn@mail.com,15,6,1,Staff,25,ZachElli,FALSE,8
6703,ShelWill,Password,Shelby,Williams,ShelWill@mail.com,19,6,2,Staff,15,JennWrig,FALSE,8
